Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 36781200, 1, 1, 64, 4.32747, 0.735672, N/A, 0.286285, 0.274856, 1283.64, 83.4411, 32, 64, 256, 8, 4, 1, 82.4895, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
